time, foot0x, foot0y, foot0z, foot1x, foot1y, foot1z
0,0.00100101,0,0.00024728,-0.00100101,0.0181818,-0.00024728
100,0.00621948,0,0.00905976,-0.00621948,0.109091,-0.00905976
200,0.0123395,0,0.0314483,-0.0123395,0.0181818,-0.0314483
300,0.00651276,0.0555556,0.00791164,-0.00651276,0,-0.00791164
400,0.00343809,0.111111,-0.000907566,-0.00343809,0,0.000907566
500,0.00244544,0.0555556,0.00289107,-0.00244544,0,-0.00289107
600,0.00230075,0,0.00414627,-0.00230075,0.0253702,-0.00414627
700,0.00152787,0,-0.00842246,-0.00152787,0.0887958,0.00842246
800,0.00111127,0,-0.0151974,-0.00111127,0.0507405,0.0151974
900,0.000990214,0,-0.0171659,-0.000990214,0,0.0171659
