time, foot0x, foot0y, foot0z, foot1x, foot1y, foot1z
0,3.51092e-006,0.12,1.6156e-005,-3.51092e-006,0,-1.6156e-005
100,0.000430051,0.12,0.00197894,-0.000430051,0,-0.00197894
200,0.00161912,0.12,0.00745062,-0.00161912,0,-0.00745062
300,0.00371788,0.12,0.0171083,-0.00371788,0,-0.0171083
400,0.00698605,0.12,0.0321473,-0.00698605,0,-0.0321473
500,0.0118281,0.12,0.0544287,-0.0118281,0,-0.0544287
600,0.0157062,0,0.0725146,-0.0157062,0.12,-0.0725146
700,0.00874081,0,0.0486456,-0.00874081,0.12,-0.0486456
800,0.00224486,0,0.0395256,-0.00224486,0.12,-0.0395256
900,-0.00458557,0,0.0438054,0.00458557,0.12,-0.0438054
1000,-0.0125958,0,0.0624832,0.0125958,0.12,-0.0624832
1100,-0.0183895,0.12,0.0815322,0.0183895,0,-0.0815322
1200,-0.00894175,0.12,0.0528398,0.00894175,0,-0.0528398
1300,-0.000587799,0.12,0.0371012,0.000587799,0,-0.0371012
1400,0.00770625,0.12,0.0418337,-0.00770625,0,-0.0418337
1500,0.0169668,0.12,0.0475215,-0.0169668,0,-0.0475215
1600,0.02834,0.12,0.0643336,-0.02834,0,-0.0643336
1700,0.0432281,0.12,0.0943279,-0.0432281,0,-0.0943279
1800,0.0271046,0,0.0655895,-0.0271046,0.12,-0.0655895
1900,0.0113174,0,0.050257,-0.0113174,0.12,-0.050257
2000,-0.00608709,0,0.0470788,0.00608709,0.12,-0.0470788
2100,-0.027263,0,0.0542901,0.027263,0.12,-0.0542901
2200,-0.0548308,0,0.0734291,0.0548308,0.12,-0.0734291
2300,-0.0374026,0.12,0.0608957,0.0374026,0,-0.0608957
2400,-0.0120047,0.12,0.0478425,0.0120047,0,-0.0478425
2500,0.0112394,0.12,0.0457174,-0.0112394,0,-0.0457174
2600,0.0352061,0.12,0.0500583,-0.0352061,0,-0.0500583
2700,0.0628616,0.12,0.0633798,-0.0628616,0,-0.0633798
2800,0.0976282,0.12,0.0873303,-0.0976282,0,-0.0873303
2900,0.133461,0,0.116177,-0.133461,0.12,-0.116177
3000,0.088243,0,0.0831803,-0.088243,0.12,-0.0831803
3100,0.0489823,0,0.0639866,-0.0489823,0.12,-0.0639866
3200,0.0108197,0,0.05622,-0.0108197,0.12,-0.05622
3300,-0.0309677,0,0.0589193,0.0309677,0.12,-0.0589193
3400,-0.081551,0,0.0724187,0.081551,0.12,-0.0724187
3500,-0.147191,0,0.0983887,0.147191,0.12,-0.0983887
3600,-0.236009,0,0.140043,0.236009,0.12,-0.140043
3700,-0.202719,0.12,0.123298,0.202719,0,-0.123298
3800,-0.139767,0.12,0.0918224,0.139767,0,-0.0918224
3900,-0.106643,0.12,0.0752601,0.106643,0,-0.0752601
